country_iso3,claim,current_source_url,source_authority,source_title,section_or_page,date,direct_support,scope_match,current_as_of_2026_06_22,recommended_action,notes
IND,primary_languages (India),https://www.cbse.gov.in/cbsenew/cbse.html,"Central Board of Secondary Education, Ministry of Education, Government of India",CBSE Official Website,Homepage,2026-06-21 (last_verified),no,partial,unclear,downgrade,Generic homepage does not list primary languages. Constitution of India (Schedule VIII) and NEP 2020 are the proper sources.
IND,education_system_summary (India),https://www.cbse.gov.in/cbsenew/cbse.html,Central Board of Secondary Education,CBSE Official Website,Homepage / About,2026-06-21,no,no,unclear,correct,CRITICAL: CBSE cannot support the entire national system. It is one of 25+ boards. Need Ministry of Education / NEP 2020 as direct source.
IND,grade_structure (India),https://www.cbse.gov.in/cbsenew/cbse.html,Central Board of Secondary Education,CBSE Official Website,Homepage,2026-06-21,no,no,unclear,correct,CBSE homepage does not detail national grade structure. NEP 2020 (5+3+3+4 structure) and RTE Act 2009 are direct sources.
IND,curricula: CBSE Secondary (Classes 9-10),https://www.cbseacademic.nic.in/curriculum_2025.html,CBSE Academic Unit,CBSE Academic Curriculum,curriculum_2025.html,2026-06-21,partial,yes,no,correct,"URL references 2025, not 2026-27. CBSE 2026-27 syllabus was released per news (June 2026) but this URL is stale. Need updated URL on cbseacademic.nic.in."
IND,curricula: CBSE Senior Secondary (Classes 11-12),https://www.cbseacademic.nic.in/curriculum_2025.html,CBSE Academic Unit,CBSE Academic Curriculum,curriculum_2025.html,2026-06-21,partial,yes,no,correct,"Same issue as above - 2025 URL, not 2026-27. Must update to current academic year."
IND,curricula: Maharashtra State Board SSC (Class 10),https://mahahsscboard.in,Maharashtra State Board of Secondary and Higher Secondary Education,MSBSHSE Official Website,Homepage,2026-06-21,no,yes,unclear,downgrade,"Source note explicitly says 'detailed syllabus not verified'. Homepage only confirms board existence, not curriculum details."
IND,curricula: Tamil Nadu State Board SSLC (Class 10),https://dge.tn.gov.in,"Directorate of Government Examinations, Tamil Nadu",DGE Tamil Nadu Official Website,Homepage,2026-06-21,no,yes,unclear,downgrade,Same issue - homepage only confirms existence. Need direct syllabus/curriculum PDF or page.
IND,curricula: Uttar Pradesh State Board (Class 10),https://upmsp.edu.in,Uttar Pradesh Madhyamik Shiksha Parishad,UPMSP Official Website,Homepage,2026-06-21,no,yes,unclear,downgrade,Same issue - homepage only confirms existence. Need direct syllabus page.
CHN,primary_languages (China),http://en.moe.gov.cn/,"Ministry of Education, PRC",Ministry of Education English Website,Homepage,2026-06-21,no,partial,unclear,downgrade,"Generic English homepage does not confirm primary languages. Need direct source (e.g., Language Policy in curriculum standards or Law on the Standard Spoken and Written Chinese Language)."
CHN,education_system_summary (China),http://en.moe.gov.cn/,"Ministry of Education, PRC",Ministry of Education English Website,Homepage,2026-06-21,no,partial,unclear,correct,"Generic homepage does not directly support the summary claims. Need direct policy documents (e.g., Education Law of the PRC, MOE regulations)."
CHN,grade_structure (China),http://en.moe.gov.cn/,"Ministry of Education, PRC",Ministry of Education English Website,Homepage,2026-06-21,no,partial,unclear,correct,Need direct source. Compulsory Education Law and senior high school regulations support this.
CHN,"curricula: MOE Compulsory Education (Junior Secondary, Grades 7-9)",http://www.moe.gov.cn/srcsite/A26/s8001/202204/t20220420_619921.html,"Ministry of Education, PRC",教育部关于印发义务教育课程方案和课程标准（2022年版）的通知,"Official Notice (教材〔2022〕2号), with attached PDFs for 17 subject curriculum standards",2022-04-20 (issued 2022-03-25),yes,yes,yes,keep,"DIRECT OFFICIAL SOURCE. This notice issues the compulsory education curriculum scheme and 16 subject curriculum standards (2022 edition), effective from 2022 autumn semester. Directly supports junior secondary curriculum."
CHN,curricula: MOE Senior High School (Grades 10-12),http://en.moe.gov.cn/,"Ministry of Education, PRC",Ministry of Education English Website,Homepage,2026-06-21,no,yes,unclear,correct,Current source is generic homepage. A DIRECT official source exists: 教育部关于印发普通高中课程方案和语文等学科课程标准（2017年版2020年修订）的通知 (教材〔2020〕3号).
CHN,curricula: MOE Secondary Vocational Education,http://en.moe.gov.cn/,"Ministry of Education, PRC",Ministry of Education English Website,Homepage,2026-06-21,no,yes,unclear,correct,Need direct vocational curriculum standards. MOE press release from 2020-02-28 mentions secondary vocational curriculum standards for 3 subjects. Need full standards URL.
PAK,primary_languages (Pakistan),https://www.fbise.edu.pk,Federal Board of Intermediate and Secondary Education,FBISE Official Website,Homepage,2026-06-21,no,partial,unclear,downgrade,Generic homepage does not confirm primary languages. Constitution of Pakistan (Article 251) and National Education Policy are proper sources.
PAK,education_system_summary (Pakistan),https://www.fbise.edu.pk,Federal Board of Intermediate and Secondary Education,FBISE Official Website,Homepage,2026-06-21,no,no,unclear,correct,CRITICAL: FBISE cannot support the full decentralized profile. It only covers federal territories and overseas Pakistanis. Need Ministry of Federal Education and Professional Training (MoFEPT) or National Education Policy as source.
PAK,grade_structure (Pakistan),https://www.fbise.edu.pk,Federal Board of Intermediate and Secondary Education,FBISE Official Website,Homepage,2026-06-21,no,no,unclear,correct,FBISE homepage does not detail national grade structure. Need MoFEPT or provincial education department sources. SNC documents support this.
