country_iso3,area,jurisdiction,missing_fact,reason,attempted_sources,recommended_next_step
USA,graduation_framework,50 remaining state/DC jurisdictions,Standard public high-school diploma frameworks or official local-control results for all U.S. jurisdictions except Georgia,Jurisdiction identity and authority are verified but detailed framework sources have not yet been processed; public official sources likely exist for most states,"State education authority sites now recorded in jurisdictions.csv; existing Georgia GaDOE rule processed",Research each state/DC from direct official graduation-requirement statutes rules guidance and assessment manuals; record local-control result when no statewide credit total exists
USA,curriculum,50 remaining state/DC jurisdictions,Official state course catalogs course-code systems subject taxonomies and local availability boundaries,Jurisdiction identity and authority are verified but statewide course catalog existence and scope have not yet been processed,"State education authority sites now recorded in jurisdictions.csv",Research official course-code catalogs standards and catalog-scope rules; distinguish state-recognized courses from district or school offerings
USA,graduation_framework,50 remaining state/DC jurisdictions,Cohort-specific effective years diploma pathways assessments and non-course completion requirements,State-specific cohort transition and pathway rules have not yet been processed into structured framework requirement rows,"State education authority sites now recorded in jurisdictions.csv",For each state/DC capture applicable cohort graduation year school sector diploma type assessments civics financial literacy CPR FAFSA service portfolio and substitution rules from direct official sources
DEU,graduation_framework,16 Lander,Individual Land Abitur and leaving certificate requirements,KMK framework only; no individual Land curricula accessed,"KMK member list, individual Land ministry sites",Access each Land Ministry of Education curriculum
DEU,curriculum,16 Lander,Land-specific course catalogs and syllabi,German-language sources not accessed,KMK agreements,Research individual Land curricula in German
IND,curriculum,22+ state boards,"Remaining state board syllabi beyond Maharashtra, Tamil Nadu, UP",No individual state board sources accessed,State board websites,Access remaining state board syllabus documents
IND,curriculum,National,CBSE detailed vocational/skill subject list (50+ subjects),CBSE vocational detailed catalog not accessed,cbseacademic.nic.in,Access CBSE skill education catalog
CHN,examinations,Provinces and municipalities,Province-specific Zhongkao policies and examination subjects,Zhongkao administration and subject rules are not nationally uniform; this pass intentionally added no provincial rows,"MOE national curriculum programme only",Research current examination-admissions rules from each provincial education department and examination authority by cohort
CHN,examinations,Provinces and municipalities,"Province-specific Gaokao models, subject combinations, scoring, and reform cohorts",The national senior-high curriculum does not establish one provincial admissions model and Gaokao is not a graduation requirement,"MOE General Senior High School Curriculum Programme (2017 Edition, 2020 Revision)",Research current provincial examination-authority rules and cohort transition notices separately
CHN,graduation_requirements,Provinces and municipalities,High-school academic proficiency examinations and their relationship to local graduation,The national curriculum programme distinguishes qualification and selection examinations but local implementation and certification require province-level evidence,"MOE General Senior High School Curriculum Programme, printed page 12",Research provincial academic-proficiency examination measures and graduation/certification rules
CHN,curriculum,"Beijing, Shanghai, Guangdong, Jiangsu, Zhejiang, Shandong, Sichuan, Henan, Hubei, and other major provinces",Provincial curriculum implementation differences and local course arrangements,The national programmes require or permit provincial implementation measures and do not prove identical local arrangements,"MOE compulsory and senior-high curriculum programmes",Create province-scoped research matrices from each education department before adding any jurisdiction rows
CHN,language_medium,Autonomous regions,Language-medium and curriculum implementation for minority-language education,The national common-language law contains exceptions and minority-language rights that cannot be represented by primary_languages=[Chinese],"中华人民共和国国家通用语言文字法 Articles 2, 8, and 10; national curriculum programme",Research autonomous-region laws and education-department implementation documents by region
CHN,scope,Hong Kong and Macao,Separate education systems outside the mainland-China record,Hong Kong and Macao have separate authorities and should not be folded into the mainland CHN curriculum rows,"Mainland PRC MOE documents only",Model Hong Kong and Macao separately only in a dedicated jurisdiction/system pass using their own official authorities
CHN,international_curricula,Mainland China,International curricula in Chinese schools,No direct regulator or programme-owner evidence was reviewed for school authorization and availability scope in this pass,"No international programme source retained",Research regulator approvals and official programme-owner school directories without inferring national availability from individual schools
CHN,vocational,National,Secondary vocational programme and specialty catalogs,The retained row covers only the public basic curriculum programme and not every professional specialty,"MOE 2019 Secondary Vocational School Public Basic Curriculum Programme; MOE 2025 vocational professional teaching standards index",Research current 2025 secondary-vocational professional teaching standards and specialty catalog at programme level
CHN,vocational,Human-resources system,Technical and skilled-worker school pathways under human-resources authorities,The MOE secondary-vocational public basic curriculum does not establish skilled-worker-school scope,"MOE 2019 public basic curriculum programme",Research Ministry of Human Resources and Social Security rules and catalogs separately; do not combine them with MOE secondary vocational schools
CHN,credentials,Provinces and local issuers,Exact credential names and local graduation certification,The previous country JSON asserted national certificate and diploma names without direct scope-matched issuing rules,"MOE national curriculum programmes",Research current provincial school-status and graduation-certificate rules before adding credentials
