id,name,iso2,iso3,region,primary_languages,education_system_summary,grade_structure,is_source_priority,is_destination_priority,priority_rank_source,priority_rank_destination,coverage_status,created_at,updated_at
0320e77e-3e2a-41e1-a1a5-4f82e518f35e,India,IN,IND,Asia,[],,{},true,false,1,,country_seed_only,,
f2a00835-5b0a-4be3-89be-157b77cc2916,China,CN,CHN,Asia,[],,{},true,false,2,,country_seed_only,,
eef7cfe5-6a58-404f-8958-32c03a4d2c2c,Mexico,MX,MEX,North America,"[""Español"",""Lenguas indígenas nacionales""]","Mexico's national system includes basic education—initial, preschool, primary, and secondary—and upper-secondary education. The federal education authority determines the national plans for preschool, primary, and secondary; upper-secondary education is coordinated through a national system with a common curricular framework that respects federalism and educational diversity.","{""stages"":[{""name"":""Educación básica"",""levels"":[""Inicial"",""Preescolar"",""Primaria"",""Secundaria""]},{""name"":""Educación media superior"",""levels"":[""Bachillerato"",""Profesional técnico bachiller"",""Equivalentes""]}],""compulsory_education"":""Preescolar, primaria, secundaria y media superior""}",true,false,3,,official,,
3691f38a-e8ba-4451-9acb-9d3f8611fc92,Philippines,PH,PHL,Asia,[],,{},true,false,4,,country_seed_only,,
8431e340-10c3-4221-8a90-63ae0a3b150c,Pakistan,PK,PAK,Asia,[],,{},true,false,5,,country_seed_only,,
36181ca7-c92f-42ad-8638-2381110ec4a3,Bangladesh,BD,BGD,Asia,[],,{},true,false,6,,country_seed_only,,
d5c4c0af-9979-4b9f-8f45-61449170c6b1,Ukraine,UA,UKR,Europe,[],,{},true,false,7,,country_seed_only,,
21b8fc04-f67c-4937-9cb7-924c092e1668,Russia,RU,RUS,Europe / Asia,[],,{},true,false,8,,country_seed_only,,
a150c73e-6412-475e-8481-0411a052efe8,Egypt,EG,EGY,Africa,[],,{},true,false,9,,country_seed_only,,
219d8f66-6ba6-4bd0-8e20-2cec7abbf8b4,Nigeria,NG,NGA,Africa,"[""English""]",Mixed federal-state system. Federal Ministry of Education sets national policy. NERDC develops curriculum. WAEC and NECO conduct school-leaving examinations. NABTEB oversees technical and vocational examinations. 2025 curriculum reform announced subject reduction.,"{""stages"": [{""name"": ""Primary"", ""grade_range"": ""1-6"", ""credential"": """"}, {""name"": ""Junior Secondary"", ""grade_range"": ""7-9"", ""credential"": ""BECE""}, {""name"": ""Senior Secondary"", ""grade_range"": ""10-12"", ""credential"": ""WASSCE / SSCE / NABTEB O-Level""}], ""compulsory_education"": ""Basic education (grades 1-9, UBE Act)"", ""notes"": ""WAEC and NECO are parallel examination bodies. NABTEB for technical/vocational.""}",true,false,10,,partial,,
73904546-ad7a-49ec-9727-64dafe4918e0,United States,US,USA,North America,[],Decentralized system. Education is constitutionally a state responsibility. No national curriculum or graduation requirement. Each of the 50 states and the District of Columbia sets its own graduation requirements. Georgia is the first verified state in this dataset.,{},false,true,,1,partial,,
