country_iso3,table_name,record_id,record_name,field_name,claim_summary,source_url,source_authority,source_title,source_section_or_page,direct_support,scope_match,current_as_of_2026_06_22,action_taken,notes
USA,destination_graduation_frameworks,9708173e-64db-49c5-b83e-721677ef90de,Georgia High School Graduation Requirements,total_credits_required,23 total Carnegie units required for Georgia High School Diploma,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48: High School Graduation Requirements for Students Enrolling in the Ninth Grade for the First Time in the 2008-09 School Year and Subsequent Years,Section (3)(b)(iii) AREAS OF STUDY chart: 'TOTAL UNITS (MINIMUM) 23',yes,yes,yes,keep (with corrected source_url),"Original source was Cherokee County district (not state authority). Direct GaDOE PDF found and verified. Rule adopted Feb 20, 2020; effective March 11, 2020. PDF last modified Nov 6, 2024."
USA,graduation_requirements,7cd63751-a5bb-4624-9877-3bcfd149c5a9,Language Arts requirement,credits_required,4 units English/Language Arts required,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48,Section (3)(b)(iii)(I): 'English/Language Arts* 4' and Section (5)(ii)(I): 'Four units of credit in English language arts shall be required...',yes,yes,yes,keep (with corrected source_url),Original data cited district source. Direct GaDOE rule confirms 4 units.
USA,graduation_requirements,4115d09c-1fa1-4771-8be6-8f9a1cc99d11,Mathematics requirement,credits_required,4 units Mathematics required,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48,Section (3)(b)(iii)(II): 'Mathematics* 4**' and Section (5)(ii)(II): 'Four units of core credit in mathematics shall be required...',yes,yes,yes,keep (with corrected source_url),Note: Students with disabilities may complete 3 core math credits via IEP team determination.
USA,graduation_requirements,0847ae73-676f-4a50-b264-a6080487a2e2,Science requirement,credits_required,4 units Science required; 4th science may count as elective,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48,Section (3)(b)(iii)(III): 'Science* 4 - The 4th science unit may be used to meet both the science and elective requirement' and Section (5)(ii)(III): 'Four units of credit in science shall be required... The fourth science unit may be used to meet both the science and elective requirements.',yes,yes,yes,keep (with corrected source_url),Fourth-science double-count note is explicitly confirmed in rule.
USA,graduation_requirements,5d621993-dd80-4daa-aff5-c35fd2855f3f,Social Studies requirement,credits_required,"3 units Social Studies required (1 US History, 1 World History, 0.5 Gov/Civics, 0.5 Economics)",https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48,Section (3)(b)(iii)(IV): 'Social Studies* 3' and Section (5)(ii)(IV): 'Three units of credit shall be required in social studies. One unit... US History. One unit... World History. One-half unit... American Government/Civics. One-half unit... Economics.',yes,yes,yes,keep (with corrected source_url),Note: Rule uses term 'Social Sciences' in chart but clarifies as 'social studies' in text.
USA,graduation_requirements,b9e1553a-6093-4e34-a66e-ab6ecf0b96fa,Career and Technical Education requirement,credits_required,Current data claims 1 unit CTAE + 2 units World Languages = 3 separate requirements. Actual rule: 3 units COMBINED from CTAE and/or Modern Language/Latin and/or Fine Arts.,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48,Section (3)(b)(iii)(V): 'CTAE and/or Modern Language/Latin and/or Fine Arts 3' and Section (5)(ii)(V): 'A total of three units of credit shall be required from the following areas: CTAE and/or Modern Language/Latin and/or Fine Arts.',partial,yes,yes,correct,"CRITICAL: Current data incorrectly splits this into 'World Languages 2' and 'CTAE 1' as separate requirements. The rule states 3 units COMBINED from these areas. Students choose from CTAE, Modern Language/Latin, or Fine Arts for a total of 3 units. No statewide mandate of 2 world languages."
USA,graduation_requirements,f15c2c99-0dfb-414d-a93e-7f1aef528087,Physical Education + Health,credits_required,Current data claims 1 unit PE + 0.5 unit Health. Actual rule: 1 unit combined Health and Physical Education.,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48,Section (3)(b)(iii)(VI): 'Health and Physical Education* 1' and Section (5)(ii)(VI): 'One unit of credit in health and physical education is required. Students shall combine one-half or one-third units of credit of Health... to satisfy this requirement.',partial,yes,yes,correct,"CRITICAL: The rule treats Health and PE as a single combined 1-unit requirement. Current dataset splits them into separate rows (PE 1.0, Health 0.5). The note says students may combine 0.5 or 0.33 units to satisfy the 1-unit requirement. JROTC (3 units) may also satisfy this requirement under local board approval."
USA,graduation_requirements,abf7cecd-4313-4f7e-bf8f-551b3bbdd318,Electives requirement,credits_required,4 elective units required,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48,Section (3)(b)(iii)(VII): 'Electives 4',yes,yes,yes,keep (with corrected source_url),Confirmed.
USA,graduation_requirements,13cab96e-cc04-40bc-be48-a65565672965,Civics / Community Service requirement,credits_required,Current data claims 0.5 unit Community Service required. Actual rule: NO statewide community service requirement exists.,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48,"Entire rule reviewed; no mention of community service requirement. The 0.5 American Government/Civics is part of the 3-unit Social Studies requirement, not a separate community service requirement.",no,no,yes,delete,CRITICAL ERROR: The current dataset has a separate 'Civics' 0.5 requirement labeled 'Community Service.' This does NOT exist in Rule 160-4-2-.48. The 0.5 Gov/Civics credit is already accounted for within the 3-unit Social Studies requirement. This row should be deleted.
USA,graduation_requirements,48c6b602-c79c-4997-ac8a-94358ff7034c,Exam requirement,requirement_type,State assessment requirements referenced in Rule 160-3-1-.07 (Georgia Milestones/EOC),https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,State Board of Education Rule 160-4-2-.48,Section (2)(g): 'Secondary School Credential' references Rule 160-3-1-.07; Section (3)(b)(2): 'assessment requirements specified in Rule 160-3-1-.07',yes,yes,yes,keep (with corrected source_url),Confirmed. The diploma requires satisfaction of state assessment requirements in Rule 160-3-1-.07.
